elapsed_ms,mean_h,mean_s,mean_v,matched_ratio
44,53.92,28.47,151.41,0.000000
168,53.99,28.70,151.37,0.000000
246,53.52,28.63,151.26,0.000000
323,53.35,28.81,151.27,0.000000
401,53.07,28.71,151.17,0.000000
479,53.08,28.75,151.18,0.000000
571,53.36,28.68,151.18,0.000000
649,53.01,28.70,150.97,0.000000
743,54.20,28.90,150.94,0.000000
836,53.49,28.93,150.84,0.000000
928,53.90,28.98,150.84,0.000000
1009,53.60,28.90,150.77,0.000000
1101,53.46,29.10,150.74,0.000000
1178,53.54,28.93,150.77,0.000000
1270,53.01,29.00,150.59,0.000000
1346,53.31,28.87,150.57,0.000000
1426,52.76,29.18,150.58,0.000000
1504,53.14,29.18,150.62,0.000000
1583,52.46,29.07,150.61,0.000000
1677,53.61,28.95,150.62,0.000000
1772,53.27,29.07,150.68,0.000000
1864,53.02,29.24,150.71,0.000000
1943,52.70,29.06,150.64,0.000000
2036,52.98,29.04,150.71,0.000000
2113,52.89,29.25,150.74,0.000000
2195,53.45,29.18,150.75,0.000000
2283,52.61,29.12,150.71,0.000000
2363,52.35,29.23,150.72,0.000000
2456,52.51,29.30,150.71,0.000000
2548,53.30,29.20,150.68,0.000000
2642,52.82,29.32,150.70,0.000000
2735,52.84,29.22,150.72,0.000000
2831,52.77,28.92,150.65,0.000000
2923,52.53,29.32,150.70,0.000000
3015,52.66,29.33,150.65,0.000000
3109,52.34,29.09,150.58,0.000000
3186,51.98,29.47,150.60,0.000000
3282,52.23,29.13,150.57,0.000000
3370,52.47,29.21,150.56,0.000000
3463,52.30,29.57,150.58,0.000000
3542,52.87,29.08,150.54,0.000000
3636,52.73,29.41,150.61,0.000000
3730,52.09,29.17,150.52,0.000000
3808,52.83,28.91,150.43,0.000000
3902,53.08,29.36,150.61,0.000000
3996,52.70,29.18,150.48,0.000000
4087,52.99,29.25,150.53,0.000000
4178,52.92,29.17,150.44,0.000000
4272,52.66,29.23,150.44,0.000000
4366,52.88,29.25,150.45,0.000000
4457,52.84,29.17,150.43,0.000000
4548,53.29,29.13,150.45,0.000000
4643,52.92,29.16,150.45,0.000000
4733,52.83,29.25,150.44,0.000000
4831,52.99,29.63,150.55,0.000000
4919,52.73,29.26,150.40,0.000000
5013,52.62,29.06,150.40,0.000000
5105,52.79,29.35,150.32,0.000000
5198,52.37,29.50,150.34,0.000000
5292,52.78,29.34,150.29,0.000000
5368,53.07,29.21,150.24,0.000000
5462,53.28,29.66,150.33,0.000000
5555,53.11,29.27,150.27,0.000000
5649,52.51,29.30,150.25,0.000000
5744,52.55,29.51,150.31,0.000000
5833,52.57,29.37,150.25,0.000000
5885,52.54,29.42,150.19,0.000000
5975,52.46,29.46,150.15,0.000000
6025,52.59,29.37,150.09,0.000000
6072,52.39,29.23,150.08,0.000000
6122,52.52,29.49,150.12,0.000000
6170,52.35,29.49,150.07,0.000000
6219,52.46,29.66,150.17,0.000000
6265,52.70,29.63,150.14,0.000000
6312,52.76,29.52,150.13,0.000000
6361,52.50,29.34,150.08,0.000000
6408,52.44,29.42,150.12,0.000000
6458,52.15,29.60,150.24,0.000000
6508,52.48,29.23,150.12,0.000000
6560,52.43,29.58,150.34,0.000000
6606,51.59,29.47,150.27,0.000000
6652,51.72,29.34,150.29,0.000000
6701,52.61,29.39,150.32,0.000000
6749,51.99,29.50,150.38,0.000000
6795,52.60,29.19,150.27,0.000000
6844,52.96,29.09,150.34,0.000000
6891,52.43,29.25,150.34,0.000000
6940,52.62,29.36,150.35,0.000000
6988,52.21,29.47,150.40,0.000000
7037,52.36,29.08,150.36,0.000000
7083,52.45,29.37,150.38,0.000000
7129,52.40,29.35,150.38,0.000000
7178,52.78,29.49,150.34,0.000000
7226,52.17,29.34,150.37,0.000000
7275,52.53,29.54,150.43,0.000000
7323,53.07,29.32,150.30,0.000000
7373,52.25,29.39,150.40,0.000000
7423,52.42,29.37,150.35,0.000000
7476,52.42,29.37,150.35,0.000000
7525,52.67,29.43,150.34,0.000000
7572,52.28,29.23,150.36,0.000000
7622,52.15,29.32,150.35,0.000000
7671,52.27,29.40,150.39,0.000000
7721,52.04,29.14,150.26,0.000000
7773,52.59,29.23,150.33,0.000000
7820,52.59,29.23,150.33,0.000000
7871,52.32,29.28,150.31,0.000000
7920,52.95,29.25,150.32,0.000000
7968,52.45,29.24,150.27,0.000000
8018,52.62,29.42,150.29,0.000000
8071,52.00,29.56,150.28,0.000000
8120,52.67,29.34,150.30,0.000000
8169,52.67,29.34,150.30,0.000000
8218,52.17,29.21,150.30,0.000000
8265,52.56,29.10,150.33,0.000000
8314,52.33,29.58,150.35,0.000000
8366,52.51,29.48,150.38,0.000000
8414,52.68,29.25,150.26,0.000000
8463,52.32,29.27,150.33,0.000000
8512,52.76,29.18,150.29,0.000000
8562,52.27,29.29,150.37,0.000000
8611,52.43,29.37,150.45,0.000000
8663,52.50,29.57,150.45,0.000000
8713,52.91,28.99,150.30,0.000000
8765,52.42,29.28,150.36,0.000000
8815,52.68,29.33,150.29,0.000000
8867,52.57,29.27,150.30,0.000000
8920,52.56,29.31,150.29,0.000000
8970,52.56,29.40,150.32,0.000000
9019,52.83,28.99,150.27,0.000000
9070,52.33,29.22,150.30,0.000000
9122,52.79,29.06,150.23,0.000000
9170,52.85,29.29,150.26,0.000000
9222,52.06,29.35,150.24,0.000000
9272,53.12,29.12,150.22,0.000000
9324,52.70,29.20,150.12,0.000000
9376,52.51,29.40,150.22,0.000000
9430,53.05,29.31,150.08,0.000000
9478,53.29,29.27,150.08,0.000000
9528,53.04,29.39,150.14,0.000000
9579,53.50,29.18,150.07,0.000000
9629,52.91,29.30,150.04,0.000000
9676,52.90,29.48,150.00,0.000000
9726,52.73,29.46,150.06,0.000000
9776,52.52,29.60,149.95,0.000000
9826,52.55,29.64,149.89,0.000000
9873,53.18,29.39,149.97,0.000000
9926,53.49,29.30,149.88,0.000000
9979,53.54,29.21,149.90,0.000000
10029,53.09,29.54,149.94,0.000000
10079,53.37,29.43,149.85,0.000000
10130,53.81,29.33,149.85,0.000000
10182,53.27,29.44,149.90,0.000000
10233,53.72,29.33,149.81,0.000000
10282,53.57,29.54,149.77,0.000000
10332,53.63,29.71,149.38,0.000000
10382,53.32,29.74,149.25,0.000000
10429,53.81,29.34,149.18,0.000000
10477,54.35,29.49,149.14,0.000000
10525,54.46,29.54,149.16,0.000000
10573,53.81,29.71,149.19,0.000000
10623,53.86,29.64,149.02,0.000000
10672,53.64,29.95,149.02,0.000000
10725,53.39,29.55,149.00,0.000000
10779,53.77,29.71,149.02,0.000000
10832,53.66,29.62,149.08,0.000000
10880,53.61,29.82,149.02,0.000000
10931,53.72,29.69,149.14,0.000000
10978,53.55,29.77,149.05,0.000000
11035,53.34,29.72,149.09,0.000000
11080,53.46,29.63,149.07,0.000000
11132,52.77,29.77,149.05,0.000000
11184,53.72,29.82,149.01,0.000000
11235,52.79,29.56,148.89,0.000000
11284,53.44,29.66,148.97,0.000000
11333,54.45,29.62,148.91,0.000000
11384,53.41,29.86,148.98,0.000000
11431,53.69,29.69,148.98,0.000000
11481,54.07,29.73,149.02,0.000000
11532,54.14,29.59,148.98,0.000000
11582,53.83,29.53,148.94,0.000000
11634,53.43,29.81,148.96,0.000000
11685,53.65,29.66,148.97,0.000000
11735,53.61,29.56,148.94,0.000000
11787,53.30,29.97,149.06,0.000000
11836,53.81,29.80,148.87,0.000000
11888,54.38,29.64,148.91,0.000000
11940,53.69,29.73,149.02,0.000000
11992,54.03,29.54,148.93,0.000000
12043,53.95,29.68,148.90,0.000000
12092,54.29,29.91,148.94,0.000000
12141,54.29,29.56,149.07,0.000000
12195,54.25,29.58,149.15,0.000000
12247,54.09,29.56,149.18,0.000000
12295,53.65,29.48,149.19,0.000000
12345,53.65,29.48,149.19,0.000000
12395,54.08,29.56,149.27,0.000000
12447,53.47,29.54,149.41,0.000000
12496,53.56,29.88,149.59,0.000000
12547,53.63,29.65,149.47,0.000000
12598,53.06,29.45,149.59,0.000000
12649,53.13,29.67,149.66,0.000000
12705,53.28,29.53,149.62,0.000000
12756,52.52,29.80,149.70,0.000000
12806,53.23,29.48,149.57,0.000000
12856,52.68,29.65,149.67,0.000000
12903,52.91,29.70,149.65,0.000000
12952,52.53,29.63,149.63,0.000000
13001,52.91,29.97,149.70,0.000000
13053,52.18,29.68,149.63,0.000000
13103,52.49,29.90,149.66,0.000000
13156,53.02,29.59,149.66,0.000000
13211,53.10,29.57,149.62,0.000000
13261,53.03,29.63,149.71,0.000000
13312,52.90,29.71,149.70,0.000000
13364,52.38,29.81,149.67,0.000000
13416,53.15,29.52,149.66,0.000000
13471,52.76,29.34,149.66,0.000000
13522,52.53,29.89,149.82,0.000000
13571,53.21,29.64,149.74,0.000000
13619,52.35,29.70,149.73,0.000000
13667,52.35,29.70,149.73,0.000000
13713,53.09,29.76,149.74,0.000000
13761,52.73,29.91,149.85,0.000000
13809,52.75,29.69,149.73,0.000000
13858,52.38,29.62,149.72,0.000000
13923,52.56,29.82,149.72,0.000000
13971,53.31,29.60,149.78,0.000000
14019,53.31,29.60,149.78,0.000000
14066,53.02,29.72,149.74,0.000000
14112,53.32,29.44,149.67,0.000000
14160,52.50,29.72,149.80,0.000000
14208,52.47,29.63,149.77,0.000000
14257,53.02,29.64,149.81,0.000000
14305,52.97,29.92,149.83,0.000000
14353,52.96,29.46,149.77,0.000000
14402,52.41,29.48,149.74,0.000000
14450,52.41,29.56,149.76,0.000000
