time_s,H,S,V
0.033,188.75,10.31,70.75
0.107,187.78,10.38,70.74
0.189,188.93,10.42,70.79
0.265,189.48,10.44,70.79
0.341,188.61,10.43,70.80
0.418,189.81,10.32,70.74
0.497,189.06,10.44,70.82
0.576,189.05,10.45,70.80
0.650,189.05,10.46,70.78
0.729,188.44,10.40,70.76
0.805,188.65,10.42,70.75
0.884,188.51,10.34,70.72
0.963,188.51,10.40,70.76
1.038,188.78,10.52,70.78
1.117,188.63,10.41,70.75
1.193,188.44,10.50,70.77
1.272,188.86,10.43,70.72
1.348,188.57,10.51,70.79
1.425,189.15,10.43,70.75
1.503,188.90,10.39,70.74
1.579,188.24,10.47,70.80
1.658,188.98,10.39,70.76
1.738,187.61,10.35,70.73
1.814,188.71,10.40,70.76
1.890,189.03,10.46,70.76
1.970,188.31,10.42,70.76
2.048,188.45,10.44,70.74
2.125,188.56,10.35,70.75
2.204,188.14,10.41,70.73
2.280,188.51,10.36,70.72
2.359,188.57,10.39,70.76
2.436,189.33,10.36,70.74
2.501,188.16,10.36,70.72
2.580,188.56,10.41,70.74
2.657,188.22,10.36,70.70
2.736,188.63,10.50,70.78
2.815,188.96,10.40,70.73
2.895,189.85,10.48,70.79
2.970,188.26,10.47,70.77
3.049,189.14,10.44,70.75
3.126,188.00,10.38,70.71
3.188,189.31,10.41,70.74
3.253,188.81,10.34,70.70
3.329,187.89,10.43,70.72
3.408,188.81,10.41,70.74
3.486,188.23,10.32,70.72
3.564,188.38,10.46,70.73
3.639,188.86,10.47,70.76
3.717,188.31,10.40,70.75
3.797,188.33,10.37,70.71
3.873,188.56,10.37,70.73
3.950,187.81,10.38,70.72
4.028,188.64,10.47,70.75
4.102,188.42,10.38,70.73
4.181,188.50,10.40,70.74
4.259,188.86,10.42,70.77
4.338,188.18,10.50,70.79
4.415,189.09,10.37,70.75
4.498,188.66,10.39,70.77
4.573,188.73,10.41,70.75
4.651,189.00,10.45,70.77
4.731,188.23,10.48,70.77
4.806,188.24,10.32,70.70
4.884,188.41,10.32,70.71
4.963,188.42,10.44,70.75
5.042,188.81,10.41,70.75
5.112,188.59,10.39,70.74
5.191,188.27,10.47,70.75
5.268,188.44,10.39,70.75
5.332,188.56,10.44,70.74
5.408,188.92,10.39,70.74
5.485,188.60,10.47,70.75
5.564,188.75,10.46,70.79
5.646,188.72,10.45,70.78
